Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
0.005 9.867 -0.259 |-0.366 -0.916 0.000 |16666
0.022 9.865 -0.249 |-0.366 -0.732 0.000 |16000
-0.010 9.855 -0.233 |-0.427 -0.488 -0.061 |16625
-0.038 9.841 -0.254 |-0.427 -0.427 -0.183 |15916
-0.017 9.846 -0.249 |-0.427 -0.549 -0.183 |16041
-0.002 9.853 -0.261 |-0.366 -0.610 -0.122 |16375
-0.002 9.853 -0.261 |-0.366 -0.671 0.000 |16416
-0.012 9.850 -0.299 |-0.366 -0.610 0.000 |55291
-0.014 9.874 -0.321 |-0.366 -0.610 -0.122 |17250
-0.019 9.843 -0.335 |-0.305 -0.671 -0.305 |16334
-0.019 9.843 -0.257 |-0.305 -0.671 -0.244 |16083
-0.014 9.867 -0.247 |-0.366 -0.671 -0.122 |16375
-0.017 9.855 -0.273 |-0.427 -0.854 -0.122 |16292
-0.019 9.841 -0.245 |-0.488 -0.977 -0.183 |16166
-0.026 9.834 -0.273 |-0.366 -0.977 -0.061 |16333
-0.024 9.858 -0.280 |-0.305 -0.793 0.061 |16542
-0.024 9.858 -0.280 |-0.183 -0.610 -0.061 |16417
-0.029 9.865 -0.257 |-0.183 -0.610 -0.183 |16208
-0.038 9.846 -0.316 |-0.183 -0.732 -0.122 |55875
0.005 9.858 -0.276 |-0.183 -0.793 -0.061 |17000
-0.017 9.819 -0.249 |-0.244 -0.732 0.061 |21208
-0.033 9.824 -0.306 |-0.305 -0.732 0.183 |16917
-0.043 9.889 -0.325 |-0.305 -0.732 0.122 |16375
-0.033 9.870 -0.261 |-0.183 -0.793 0.122 |17042
-0.026 9.838 -0.283 |-0.183 -0.854 0.122 |16292
-0.012 9.831 -0.292 |-0.305 -0.732 0.061 |16292
-0.007 9.827 -0.304 |-0.366 -0.488 0.000 |16291
-0.010 9.850 -0.311 |-0.305 -0.427 0.000 |55833
-0.012 9.860 -0.266 |-0.305 -0.488 0.122 |16541
-0.029 9.850 -0.264 |-0.305 -0.610 0.183 |16041
-0.031 9.846 -0.271 |-0.244 -0.732 0.061 |16583
-0.019 9.843 -0.330 |-0.244 -0.854 -0.061 |16250
-0.012 9.831 -0.311 |-0.183 -0.854 0.000 |16542
-0.014 9.848 -0.228 |-0.061 -0.793 0.000 |16500
