Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
9.808 0.081 -0.095 |0.183 0.122 0.061 |66459
9.791 0.113 -0.105 |0.122 0.305 0.122 |56750
9.779 0.108 -0.088 |0.183 0.305 0.000 |56250
9.789 0.115 -0.086 |0.061 0.244 0.061 |17250
9.796 0.122 -0.081 |0.061 0.244 0.061 |17000
9.784 0.136 -0.112 |0.183 0.305 -0.122 |56500
9.779 0.124 -0.112 |0.000 0.244 0.061 |57084
9.772 0.151 -0.078 |0.000 0.183 0.122 |57083
9.779 0.141 -0.102 |0.122 0.061 0.000 |56708
9.791 0.134 -0.055 |0.122 0.183 -0.183 |56125
9.779 0.120 -0.029 |0.122 0.183 -0.122 |57417
9.784 0.141 -0.078 |0.183 0.183 -0.183 |55292
9.803 0.122 -0.048 |0.122 0.244 0.000 |56792
9.796 0.139 -0.050 |0.122 0.305 -0.061 |16958
9.787 0.134 -0.112 |0.183 0.305 0.000 |16042
9.770 0.146 -0.097 |0.244 0.305 0.061 |16291
9.767 0.146 -0.050 |0.244 0.244 0.183 |15958
9.741 0.124 -0.076 |0.122 0.183 0.183 |16291
9.758 0.105 -0.090 |0.000 0.183 0.000 |16291
9.798 0.110 -0.040 |0.061 0.183 -0.122 |56708
9.782 0.132 -0.036 |0.000 0.305 -0.183 |56166
9.796 0.103 -0.038 |0.183 0.549 -0.244 |56834
9.779 0.098 -0.102 |0.183 0.549 -0.244 |16542
9.801 0.120 -0.116 |0.183 0.427 -0.122 |16916
9.767 0.110 -0.124 |0.244 0.244 0.000 |16375
9.763 0.093 -0.031 |0.305 0.244 0.000 |16375
9.770 0.101 -0.017 |0.305 0.305 -0.122 |16833
9.787 0.110 -0.033 |0.183 0.244 -0.244 |16458
9.777 0.115 -0.048 |-0.061 0.427 -0.305 |51708
9.770 0.096 -0.086 |0.061 0.427 -0.244 |20041
9.775 0.103 -0.114 |0.183 0.366 -0.305 |17666
9.784 0.115 -0.093 |0.305 0.366 -0.183 |16750
9.798 0.098 -0.081 |0.244 0.366 -0.122 |16458
9.787 0.098 -0.081 |0.183 0.244 -0.061 |16542
9.777 0.115 -0.086 |0.061 0.122 -0.061 |16959
9.784 0.122 -0.036 |0.000 0.183 -0.122 |16625
9.779 0.132 -0.024 |-0.061 0.305 -0.122 |55791
9.796 0.139 0.000 |-0.061 0.305 -0.122 |16416
9.787 0.101 0.005 |0.061 0.244 -0.122 |17083
9.787 0.093 -0.083 |0.122 0.305 -0.122 |17042
9.782 0.127 -0.109 |0.061 0.305 -0.183 |16250
9.772 0.148 -0.105 |0.122 0.305 -0.122 |16459
9.789 0.134 -0.076 |0.244 0.244 0.000 |16291
9.794 0.105 -0.052 |0.244 0.183 -0.061 |16209
9.794 0.105 -0.052 |0.244 0.122 -0.122 |16667
9.818 0.117 -0.059 |0.122 0.244 -0.061 |16584
9.830 0.120 -0.090 |0.122 0.244 0.000 |16833
9.798 0.129 -0.131 |0.122 0.183 0.000 |56083
9.767 0.153 0.010 |0.183 0.305 0.000 |16917
9.798 0.148 0.002 |0.183 0.427 0.061 |16166
9.796 0.108 -0.012 |0.000 0.427 0.122 |16417
9.803 0.098 -0.021 |-0.122 0.183 0.000 |21417
9.796 0.108 -0.033 |0.061 0.244 0.000 |16750
9.801 0.086 -0.076 |0.305 0.305 0.000 |16209
9.808 0.124 -0.102 |0.305 0.305 0.000 |16250
9.770 0.177 -0.088 |0.244 0.183 -0.244 |55416
9.729 0.177 -0.116 |0.122 0.183 -0.366 |16500
9.753 0.146 -0.100 |0.122 0.183 -0.366 |16375
9.770 0.139 -0.078 |0.061 0.305 -0.244 |16416
9.789 0.136 -0.100 |0.061 0.305 -0.244 |16208
9.815 0.156 -0.090 |0.122 0.366 -0.183 |16709
9.779 0.184 -0.062 |0.061 0.366 -0.183 |16167
9.787 0.156 -0.040 |0.061 0.244 -0.244 |16292
9.777 0.103 -0.043 |0.122 0.183 -0.244 |16542
9.782 0.103 -0.048 |0.183 0.183 -0.122 |16667
9.784 0.151 -0.040 |0.244 0.122 -0.061 |16333
9.760 0.146 -0.036 |0.244 0.183 -0.061 |16209
9.782 0.124 -0.029 |0.183 0.183 0.000 |16500
9.787 0.110 -0.036 |0.122 0.061 -0.061 |20208
9.791 0.101 -0.045 |0.122 0.061 -0.061 |18750
9.779 0.105 -0.040 |0.183 0.000 0.000 |16584
9.770 0.129 -0.055 |0.183 0.000 0.122 |16750
9.779 0.144 -0.102 |0.122 0.000 0.122 |17417
