Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.098 -0.531 -9.947 |0.122 -0.183 -0.122 |197000
-0.067 -0.517 -9.860 |0.061 -0.122 -0.061 |17625
-0.112 -0.519 -9.890 |0.183 -0.122 -0.122 |16500
-0.110 -0.512 -9.912 |0.305 -0.061 -0.061 |16875
-0.084 -0.486 -9.976 |0.305 0.061 0.000 |16500
-0.084 -0.486 -9.976 |0.244 0.061 -0.061 |16500
-0.084 -0.481 -9.926 |0.183 -0.061 -0.122 |16375
-0.084 -0.515 -9.943 |0.122 -0.122 -0.305 |16833
-0.086 -0.524 -9.966 |0.122 -0.061 -0.244 |16417
-0.086 -0.510 -9.883 |0.122 -0.061 -0.244 |16708
-0.084 -0.534 -9.900 |0.183 0.000 -0.183 |16500
-0.084 -0.505 -9.933 |0.183 0.061 -0.183 |16792
-0.093 -0.488 -9.945 |0.244 0.000 -0.183 |16208
-0.079 -0.517 -9.926 |0.244 -0.122 -0.122 |16709
-0.065 -0.515 -9.936 |0.183 -0.122 -0.061 |16583
-0.100 -0.527 -9.921 |0.183 -0.061 -0.122 |16625
-0.088 -0.519 -9.919 |0.183 0.000 -0.122 |16541
-0.076 -0.524 -9.943 |0.000 0.000 -0.183 |21709
-0.105 -0.546 -9.936 |-0.061 0.000 -0.244 |17791
-0.108 -0.505 -9.947 |0.122 -0.122 -0.244 |16625
-0.096 -0.479 -9.952 |0.183 -0.061 -0.366 |56417
-0.086 -0.527 -9.909 |0.122 -0.122 -0.244 |16583
-0.093 -0.510 -9.931 |0.122 -0.244 -0.183 |16750
-0.110 -0.527 -9.876 |0.244 0.000 -0.122 |17167
-0.110 -0.539 -9.905 |0.183 0.244 -0.122 |16875
-0.091 -0.539 -9.945 |0.183 0.183 -0.183 |16833
-0.096 -0.541 -9.938 |0.183 0.061 -0.244 |16666
-0.127 -0.531 -9.921 |0.183 -0.061 -0.305 |16583
-0.105 -0.519 -9.898 |0.183 -0.061 -0.244 |16458
-0.105 -0.519 -9.898 |0.122 0.061 -0.305 |17083
-0.069 -0.498 -9.898 |0.061 0.061 -0.183 |16625
-0.060 -0.503 -9.919 |0.122 -0.061 -0.061 |56000
-0.079 -0.486 -9.985 |0.183 -0.122 -0.061 |16625
-0.098 -0.500 -9.962 |0.244 -0.061 -0.122 |16875
