Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
9.782 0.089 -0.124 |1.404 -0.061 -0.122 |16708
9.765 0.098 -0.074 |1.404 0.183 -0.061 |55958
9.787 0.144 -0.026 |1.221 0.244 -0.061 |16292
9.763 0.117 -0.059 |1.160 0.122 -0.061 |17166
9.758 0.069 -0.059 |1.160 0.122 -0.061 |16416
9.806 0.093 -0.088 |1.160 -0.061 0.122 |16459
9.796 0.110 -0.083 |1.282 -0.122 0.061 |16542
9.798 0.105 -0.071 |1.343 -0.061 -0.061 |16334
9.803 0.117 -0.076 |1.343 0.061 -0.122 |16542
9.808 0.132 -0.029 |1.343 0.122 -0.061 |16250
9.842 0.132 -0.064 |1.404 0.122 0.000 |55708
9.827 0.113 -0.067 |1.465 0.183 -0.061 |16709
9.798 0.096 -0.064 |1.404 0.183 -0.122 |16042
9.801 0.103 -0.045 |1.282 0.061 -0.061 |16250
9.815 0.141 -0.052 |1.282 0.000 -0.061 |55792
9.820 0.139 -0.078 |1.404 0.061 -0.061 |55750
9.798 0.098 -0.067 |1.282 0.122 -0.061 |16583
9.784 0.115 -0.064 |1.282 0.061 -0.122 |16792
9.794 0.132 -0.040 |1.282 0.000 -0.061 |16417
9.818 0.105 -0.021 |1.282 0.000 0.061 |16208
9.813 0.091 -0.040 |1.343 0.000 0.061 |16250
9.813 0.084 -0.043 |1.404 -0.061 -0.183 |16292
9.822 0.105 -0.040 |1.465 -0.061 -0.366 |16292
9.806 0.122 -0.026 |1.465 -0.061 -0.366 |16250
9.789 0.110 -0.007 |1.465 0.000 -0.305 |16291
9.794 0.144 -0.043 |1.404 -0.061 -0.122 |16334
9.791 0.127 -0.007 |1.343 -0.122 0.000 |16334
9.787 0.096 -0.012 |1.343 -0.305 0.061 |16208
9.779 0.120 -0.088 |1.282 -0.427 0.061 |16208
9.770 0.117 -0.100 |1.221 -0.305 0.061 |16541
9.775 0.115 -0.057 |1.282 -0.183 0.061 |16625
9.791 0.129 -0.029 |1.343 -0.122 0.061 |16459
9.806 0.113 -0.036 |1.282 -0.122 0.061 |16750
9.784 0.113 -0.050 |1.404 -0.183 0.122 |16458
9.784 0.113 -0.050 |1.404 -0.244 0.183 |16500
9.772 0.141 -0.097 |1.404 -0.244 0.061 |16000
9.736 0.117 -0.109 |1.343 -0.122 -0.122 |16500
9.743 0.081 -0.081 |1.282 0.061 -0.122 |16417
9.777 0.108 -0.074 |1.221 0.000 -0.122 |22833
9.758 0.091 -0.097 |1.282 -0.122 -0.061 |18583
9.755 0.110 -0.055 |1.282 -0.305 0.000 |17875
9.775 0.120 0.062 |1.282 -0.305 0.000 |16833
9.777 0.081 0.019 |1.282 -0.305 0.122 |16375
9.777 0.081 -0.048 |1.282 -0.244 0.305 |16792
