Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.031 9.874 -0.252 |0.183 -0.427 -0.183 |55750
-0.031 9.858 -0.219 |0.183 -0.366 -0.122 |16542
-0.022 9.834 -0.242 |0.244 -0.305 0.000 |16208
0.000 9.860 -0.240 |0.244 -0.305 0.122 |55208
-0.007 9.872 -0.219 |0.244 -0.305 0.183 |16834
-0.031 9.846 -0.247 |0.305 -0.244 0.122 |16542
-0.050 9.848 -0.285 |0.122 -0.366 -0.061 |16459
-0.048 9.862 -0.264 |0.061 -0.427 -0.244 |16625
-0.031 9.853 -0.264 |0.061 -0.427 -0.244 |16375
-0.007 9.867 -0.297 |0.122 -0.427 -0.244 |16833
0.002 9.889 -0.304 |0.183 -0.305 -0.122 |16625
-0.029 9.865 -0.306 |0.244 -0.305 -0.061 |16292
-0.026 9.846 -0.304 |0.244 -0.488 0.244 |55500
-0.012 9.862 -0.292 |0.183 -0.366 0.305 |16209
-0.038 9.855 -0.290 |0.244 -0.244 0.183 |16334
-0.033 9.846 -0.285 |0.244 -0.305 -0.061 |54958
-0.024 9.848 -0.226 |0.244 -0.305 -0.122 |16541
-0.024 9.848 -0.226 |0.183 -0.366 0.000 |16459
-0.041 9.841 -0.316 |0.061 -0.366 0.061 |16542
-0.060 9.846 -0.311 |0.122 -0.305 -0.061 |16958
-0.033 9.891 -0.314 |0.244 -0.305 -0.183 |16250
-0.038 9.903 -0.323 |0.366 -0.305 -0.244 |15875
-0.069 9.867 -0.349 |0.366 -0.305 -0.244 |55041
-0.036 9.858 -0.290 |0.366 -0.244 0.000 |17042
-0.036 9.858 -0.290 |0.305 -0.244 0.061 |23042
-0.019 9.886 -0.311 |0.244 -0.305 0.000 |17917
-0.029 9.879 -0.285 |0.183 -0.122 -0.061 |16917
-0.019 9.860 -0.318 |0.183 -0.061 0.000 |16250
-0.033 9.865 -0.292 |0.244 -0.122 0.000 |16333
-0.002 9.860 -0.240 |0.305 -0.183 -0.183 |16584
-0.002 9.860 -0.240 |0.244 -0.244 -0.244 |16000
-0.007 9.858 -0.280 |0.244 -0.427 -0.061 |55250
-0.036 9.855 -0.228 |0.244 -0.549 0.000 |16458
-0.017 9.834 -0.242 |0.244 -0.549 0.000 |16459
0.002 9.803 -0.259 |0.183 -0.427 0.000 |16250
-0.012 9.807 -0.249 |0.244 -0.366 0.061 |16125
-0.024 9.846 -0.266 |0.305 -0.427 0.122 |16458
-0.043 9.889 -0.259 |0.427 -0.610 0.122 |16417
-0.043 9.889 -0.259 |0.366 -0.610 0.061 |16333
-0.038 9.882 -0.259 |0.183 -0.549 0.061 |16417
-0.029 9.860 -0.285 |0.122 -0.488 0.061 |16417
-0.048 9.846 -0.252 |0.183 -0.427 0.183 |16000
-0.050 9.843 -0.223 |0.305 -0.366 0.244 |16083
-0.029 9.867 -0.259 |0.305 -0.366 0.244 |16250
-0.026 9.870 -0.316 |0.366 -0.366 0.183 |16375
-0.048 9.850 -0.302 |0.305 -0.305 0.122 |16167
-0.026 9.836 -0.259 |0.061 -0.244 0.061 |16291
-0.014 9.827 -0.276 |0.061 -0.244 0.000 |23166
-0.024 9.819 -0.287 |0.183 -0.366 0.000 |18708
-0.017 9.822 -0.302 |0.305 -0.366 0.000 |24334
-0.012 9.831 -0.309 |0.244 -0.305 -0.061 |17208
-0.033 9.862 -0.306 |0.366 -0.244 -0.061 |55708
-0.053 9.858 -0.252 |0.427 -0.305 -0.122 |16875
-0.026 9.874 -0.247 |0.427 -0.305 -0.183 |15958
-0.010 9.879 -0.276 |0.427 -0.244 -0.244 |16666
-0.024 9.831 -0.266 |0.488 -0.183 -0.244 |16041
-0.029 9.807 -0.216 |0.427 -0.244 -0.183 |16250
-0.031 9.834 -0.285 |0.244 -0.305 -0.244 |16209
-0.033 9.831 -0.337 |0.244 -0.244 -0.244 |16083
-0.029 9.841 -0.266 |0.244 -0.183 -0.305 |16208
-0.029 9.841 -0.266 |0.183 -0.122 -0.244 |16417
-0.033 9.865 -0.238 |0.244 -0.061 -0.122 |16750
-0.029 9.874 -0.316 |0.305 0.000 0.122 |16500
-0.022 9.870 -0.314 |0.305 -0.122 0.061 |16500
-0.031 9.850 -0.273 |0.305 -0.122 0.061 |17708
-0.022 9.865 -0.273 |0.244 -0.305 -0.122 |16875
-0.024 9.867 -0.273 |0.305 -0.427 -0.061 |16541
-0.033 9.843 -0.311 |0.305 -0.488 0.122 |16667
-0.033 9.846 -0.287 |0.305 -0.488 0.122 |16333
-0.048 9.843 -0.240 |0.244 -0.488 0.305 |16125
-0.050 9.834 -0.254 |0.244 -0.427 0.183 |16125
-0.031 9.855 -0.292 |0.305 -0.244 0.122 |16375
0.000 9.865 -0.292 |0.427 -0.122 0.000 |54875
-0.041 9.836 -0.261 |0.366 -0.183 -0.122 |17083
-0.079 9.824 -0.268 |0.305 -0.244 0.000 |16750
-0.038 9.803 -0.318 |0.366 -0.183 0.122 |232417
-0.038 9.800 -0.285 |0.366 -0.183 0.061 |18333
-0.067 9.831 -0.214 |0.366 -0.305 0.000 |16583
-0.055 9.862 -0.264 |0.488 -0.305 -0.183 |16875
-0.031 9.882 -0.266 |0.427 -0.122 -0.305 |17042
-0.033 9.855 -0.268 |0.427 -0.122 -0.305 |16375
-0.062 9.838 -0.295 |0.366 -0.183 -0.244 |16333
-0.062 9.843 -0.257 |0.366 -0.244 -0.122 |16291
-0.057 9.862 -0.245 |0.305 -0.244 0.000 |54917
-0.053 9.850 -0.252 |0.305 -0.122 0.000 |16875
-0.036 9.829 -0.309 |0.366 0.061 0.000 |16458
-0.041 9.836 -0.273 |0.305 0.122 -0.061 |16667
-0.060 9.829 -0.209 |0.305 0.122 -0.061 |16958
-0.065 9.843 -0.245 |0.244 -0.061 -0.061 |16541
-0.048 9.848 -0.261 |0.183 -0.305 0.000 |16583
-0.036 9.850 -0.318 |0.244 -0.366 -0.122 |16375
-0.053 9.879 -0.328 |0.488 -0.305 -0.305 |16084
-0.045 9.882 -0.316 |0.488 -0.305 -0.244 |55125
-0.033 9.843 -0.304 |0.244 -0.122 -0.305 |16750
-0.029 9.853 -0.230 |0.244 -0.122 -0.305 |16625
-0.007 9.906 -0.221 |0.244 -0.122 -0.183 |16417
-0.036 9.877 -0.278 |0.305 -0.183 0.061 |16542
-0.053 9.870 -0.299 |0.427 -0.244 0.244 |16542
-0.043 9.870 -0.290 |0.610 -0.122 0.244 |16667
-0.033 9.834 -0.273 |0.366 0.000 -0.061 |23708
-0.017 9.853 -0.257 |0.244 -0.122 -0.244 |17750
-0.014 9.877 -0.295 |0.366 -0.183 -0.183 |17709
-0.005 9.855 -0.325 |0.366 -0.183 -0.183 |55584
0.017 9.841 -0.330 |0.549 -0.244 0.000 |16542
-0.007 9.848 -0.297 |0.488 -0.244 -0.122 |16625
-0.048 9.872 -0.247 |0.427 -0.122 -0.122 |16666
-0.053 9.894 -0.268 |0.366 0.000 -0.122 |16458
-0.024 9.879 -0.259 |0.305 -0.061 -0.122 |16833
-0.041 9.855 -0.230 |0.305 -0.061 -0.122 |16500
-0.065 9.865 -0.257 |0.244 -0.122 0.000 |16458
-0.055 9.870 -0.280 |0.244 -0.244 0.061 |16750
-0.031 9.855 -0.292 |0.244 -0.366 0.061 |16500
-0.017 9.862 -0.261 |0.305 -0.183 -0.366 |55000
-0.036 9.889 -0.278 |0.305 -0.122 -0.427 |16834
-0.024 9.886 -0.297 |0.305 -0.122 -0.427 |16416
-0.010 9.838 -0.287 |0.305 -0.061 -0.305 |56792
-0.019 9.817 -0.344 |0.305 -0.061 0.000 |16500
0.005 9.836 -0.323 |0.244 -0.183 0.122 |16459
-0.026 9.862 -0.309 |0.183 -0.244 0.061 |16459
-0.076 9.850 -0.387 |0.183 -0.244 0.061 |16917
-0.053 9.853 -0.359 |0.183 -0.244 -0.061 |16292
-0.043 9.860 -0.261 |0.305 -0.122 -0.183 |16375
-0.038 9.867 -0.226 |0.305 -0.061 -0.183 |55458
-0.026 9.850 -0.228 |0.244 -0.122 0.183 |16125
-0.017 9.805 -0.252 |0.366 -0.183 0.183 |16042
-0.022 9.846 -0.242 |0.366 -0.183 0.183 |16166
-0.029 9.867 -0.254 |0.366 -0.122 0.000 |16584
-0.026 9.860 -0.261 |0.305 -0.061 -0.183 |16334
-0.033 9.850 -0.271 |0.305 -0.061 -0.244 |16584
-0.038 9.836 -0.321 |0.366 -0.122 0.183 |22292
