initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
PWM intializedPins initializedresetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  Time   |  Gamma  |  L Enc  |  R Enc  |    X    |    Y    |    ψ    | Sat Flag|
482048542,0.000,0.000,  0.000,  0.000,
522493375,0.000,0.027,  0.000,  0.000,
565269000,0.000,0.115,  0.004, -0.000,
605709209,-0.001,0.173,  0.007, -0.000,
646092667,-0.001,0.192,  0.009, -0.000,
686645875,0.000,0.160,  0.008, -0.000,
727179792,0.001,0.118,  0.006, -0.000,
767708417,0.001,0.073,  0.003, -0.000,
808240959,0.001,0.040,  0.002, -0.000,
848676750,0.003,0.034,  0.002, -0.000,
889270584,0.006,0.019,  0.002, -0.000,
929683042,0.009,-0.008,  0.002, -0.000,
970074917,0.010,-0.059, -0.000, -0.000,
1011168500,0.008,-0.141, -0.004, -0.000,
1051522459,0.004,-0.208, -0.007, -0.000,
1092120167,0.000,-0.227, -0.008, -0.000,
1132608792,0.005,-0.222, -0.008, -0.000,
1172940709,0.004,-0.218, -0.008, -0.000,
1213398334,0.009,-0.238, -0.008, -0.000,
1254104084,-0.001,-0.277, -0.009, -0.000,
1294467084,0.003,-0.349, -0.012, -0.000,
1334780500,-0.001,-0.419, -0.015, -0.000,
1375278709,-0.003,-0.481, -0.018, -0.000,
1415896584,0.000,-0.501, -0.019, -0.000,
1456396084,-0.001,-0.480, -0.019, -0.000,
1496900750,-0.001,-0.486, -0.019, -0.000,
1537392500,0.001,-0.512, -0.019, -0.000,
1577790667,0.005,-0.528, -0.019, -0.000,
1618390209,0.006,-0.581, -0.021, -0.000,
1658706125,0.004,-0.641, -0.024, -0.000,
1699254459,0.005,-0.710, -0.027, -0.000,
1739599625,0.003,-0.752, -0.029, -0.000,
1779907625,0.000,-0.736, -0.029, -0.000,
1820242584,0.000,-0.732, -0.029, -0.000,
1861404334,0.001,-0.741, -0.029, -0.000,
