initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
PWM intializedPins initializedresetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  Time   |  Gamma  |  L Enc  |  R Enc  |    X    |    Y    |    ψ    | Sat Flag|
10249489084,-2.112,
10289974293,-2.108,
10330484084,-2.102,
10370993668,-2.094,
10411348418,-2.089,
10451845626,-2.090,
10492357709,-2.094,
10532868584,-2.089,
10573475751,-2.090,
10613827168,-2.095,
10654117626,-2.094,
10698517709,-2.102,
10739009168,-2.103,
10779519959,-2.102,
10820032209,-2.102,
10860543918,-2.103,
10901054293,-2.103,
10941542251,-2.103,
10982055501,-2.104,
11022716334,-2.108,
11063324084,-2.112,
11103688418,-2.111,
11143980626,-2.112,
11184274084,-2.109,
11225597251,-2.104,
11265879334,-2.104,
11306355376,-2.106,
11346685626,-2.106,
11386971084,-2.107,
11427270251,-2.107,
11467545501,-2.107,
11507847293,-2.108,
11548326709,-2.104,
11588819793,-2.104,
11629474334,-2.104,
11669982709,-2.103,
11710556918,-2.100,
11751069751,-2.097,
11791511834,-2.091,
11832021376,-2.085,
11872536543,-2.069,
11913043543,-1.923,
11953876209,-1.689,
11994168334,-1.363,
12035647751,-0.860,
12075936043,-0.395,
12116223376,0.036,
12156681709,0.317,
12197541459,0.391,
12237818543,0.362,
12278313126,0.262,
12318828001,0.129,
12359344793,0.018,
12399922626,-0.068,
12440433793,-0.101,
12480747834,-0.103,
12521242001,-0.068,
12561757293,-0.028,
12602278376,0.004,
12642795918,0.028,
12683348085,0.028,
12723693168,0.028,
12763988835,0.022,
12804324460,0.013,
12845512918,-0.010,
12885806418,-0.018,
12926096418,-0.026,
12966650251,-0.005,
13007121543,0.006,
13047843376,0.015,
13088357876,0.013,
13128856293,0.006,
13169372251,0.008,
13209887293,0.017,
13250302043,0.013,
13290670001,0.015,
13330981001,0.004,
13371289418,-0.009,
13411804168,-0.018,
13452317335,-0.012,
13492627210,-0.004,
13533090335,0.000,
13573429251,0.005,
13613738918,0.004,
13654066918,0.008,
13694513043,0.005,
13734809918,0.004,
13776157001,0.008,
